Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s):,"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,2. Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,"3. In classes you have taken at the University, how effective or ineffective were teaching assistants in facilitating your understanding of course materials?","4. If the 2020 U.S. Presidential Election were held today, which candidate would you vote for?","5. In the past year at Brown, which types of parties have you attended? (Select all that apply)",6. What is your preferred method of notetaking in class?,"7. During a typical class, about how long do you pay full attention to the lecture?","8. How often do you meet with an academic advisor? (e.g. department advisor, Meiklejohn peer advisor, first-year advisor, sophomore advisor, etc.)",9. Do you approve or disapprove of the UniversityÕs requirement that all undergraduates live in on-campus housing for their first six semesters (with the exception of the off campus permission lottery for juniors)?,10. Which of the following dating apps have you used? (Select all that apply),"11. How often do you use barrier methods (e.g., condoms, dental dams)  to protect against Sexually Transmitted Infections (STIs) during oral and/or penetrative sexual intercourse?","12. How often do you use barrier methods (e.g. condoms, dental dams) and/or contraceptives (e.g. birth control pills, IUDs)  to prevent pregnancy during vaginal sexual intercourse?"
Female,Sophomore,None,No,Heterosexual,Asian,Humanities/arts,No,No,International,No,On campus,No opinion,Strongly approve,No opinion,I am ineligible to vote,I do not attend parties,Handwriting on paper,The entire class,A few times per semester,Somewhat approve,Tinder,Always,Always
Female,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Humanities/arts, Business (BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,I am unsure,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per month,Strongly approve,Tinder,Rarely,Never
Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Strongly approve,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,More than half of the class,Never,Somewhat disapprove,I do not use dating apps,Always,Always
Male,Junior,"Grants, covering some costs",No,Heterosexual,Hispanic,Life sciences,No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,Off-campus house party,Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,Life sciences,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,I am unsure,"Student organization event, Dormitory party",Handwriting on paper,More than half of the class,Once per semester,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,"Grants, covering some costs",No,Heterosexual,White,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,International,No,On campus,Somewhat approve,No opinion,Extremely effective,Bernie Sanders,"Small Victories (SV) event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,Half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,Always,Most of the time
Male,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Extremely effective,Bernie Sanders,"Dormitory party, Off-campus house party, Other",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Senior,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,Off campus,Somewhat approve,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Off-campus house party, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,The entire class,A few times per semester,Somewhat approve,I do not use dating apps,Never,Rarely
Female,Sophomore,None,No,Bisexual,Asian,Social sciences (not incl. BEO or econ),No,No,International,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,I am ineligible to vote,"Student organization event, Off-campus house party",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per semester,Strongly disapprove,I do not use dating apps,Most of the time,Most of the time
Female,Senior,None,Yes,Heterosexual,White,"Humanities/arts, Business (BEO or econ)",No,No,Domestic,No,Off campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,"Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar, Whiskey Republic",Typing on a computer,More than half of the class,A few times per semester,Strongly approve,I do not use dating apps,Never,Always
